Episode,Reward,Avg_Waiting_Time,Avg_Queue,Epsilon,Loss
1,-20083.5,1.1428571428571428,1.5,0.995,949.1101166944344
2,-17636.0,0.7575757575757576,1.0,0.990025,178.51828294330173
3,-23563.5,0.20588235294117646,0.5,0.985074875,144.15961003833348
4,-20045.5,1.625,1.75,0.9801495006250001,126.67288847499424
5,-21679.5,0.2,1.25,0.9752487531218751,115.53656917413076
6,-24028.5,1.1666666666666667,1.5,0.9703725093562657,140.97511867947048
7,-25140.5,1.6923076923076923,3.0,0.9655206468094844,151.7595368358824
8,-21962.0,0.21212121212121213,0.75,0.960693043575437,148.43103870815702
9,-20273.0,0.34375,0.5,0.9558895783575597,127.70028546386295
10,-23201.0,0.84,0.75,0.9511101304657719,117.14369583129883
11,-18530.0,2.127659574468085,3.0,0.946354579813443,290.37837034331426
12,-17977.5,0.75,0.75,0.9416228069143757,298.0517017364502
13,-19034.5,0.2916666666666667,0.5,0.9369146928798039,241.3858078426785
14,-19320.5,0.2692307692307692,0.5,0.9322301194154049,258.2006420877245
15,-19206.0,0.14814814814814814,0.5,0.9275689688183278,213.88954503536223
16,-12494.0,2.3076923076923075,1.75,0.9229311239742362,221.8807557159
17,-20506.0,0.21875,0.5,0.918316468354365,267.71310782962377
18,-16412.5,1.1538461538461537,1.5,0.9137248860125932,279.9516000111898
19,-15062.0,0.0,0.0,0.9091562615825302,237.59932284355165
20,-20588.0,0.1935483870967742,0.75,0.9046104802746175,207.1486377398173
21,-19067.0,0.41379310344827586,1.25,0.9000874278732445,270.7920087655385
22,-20918.5,1.8,1.25,0.8955869907338783,237.17214909659492
23,-17555.0,0.16666666666666666,0.25,0.8911090557802088,224.59757712682088
24,-19142.5,2.3666666666666667,1.75,0.8866535105013078,256.6838631047143
25,-18651.0,0.06060606060606061,0.25,0.8822202429488013,290.08928481737775
26,-19150.0,0.20588235294117646,0.75,0.8778091417340573,219.97825931972926
27,-16695.5,0.034482758620689655,0.25,0.8734200960253871,252.90104989740584
28,-13676.0,0.13636363636363635,0.5,0.8690529955452602,282.2257724973891
29,-18315.0,0.7142857142857143,0.75,0.8647077305675338,230.3768979019589
30,-17256.0,1.469387755102041,2.0,0.8603841919146962,220.5085406727261
