scenario,episodes,avg_network_reward,std_network_reward,avg_intersection_reward,std_intersection_reward,avg_wait_time,std_wait_time,detection_rate,false_positive_rate
baseline,20,-1522.6,85.0511022856259,-190.325,10.631387785703238,0.02037298670125856,0.017764892984964992,0.0,0.0
attack,20,-1545.875,109.132473970858,-193.234375,13.64155924635725,0.022540302276454666,0.023218061243997817,0.0,0.0
defense,20,-1521.45,63.405224548139564,-190.18125,7.9256530685174456,0.018114473902648778,0.02031379457479434,2.492621627853355,0.0
unreliable,20,-1568.35,187.08461321017293,-196.04375,23.385576651271617,0.024073965018389574,0.024882599816246104,0.0,0.0
secure,20,-1494.35,91.42525635731081,-186.79375,11.428157044663852,0.0177432636802678,0.02289428601867167,2.4527323034355546,0.0
