Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-1737.0,-883.5,-853.5,-220.875,-220.875,-220.875,-220.875,-213.375,-213.375,-213.375,-213.375
-1998.5,-1076.5,-922.0,-269.125,-269.125,-269.125,-269.125,-230.5,-230.5,-230.5,-230.5
-1801.5,-991.0,-810.5,-247.75,-247.75,-247.75,-247.75,-202.625,-202.625,-202.625,-202.625
-1694.0,-939.5,-754.5,-234.875,-234.875,-234.875,-234.875,-188.625,-188.625,-188.625,-188.625
-1916.0,-1047.5,-868.5,-261.875,-261.875,-261.875,-261.875,-217.125,-217.125,-217.125,-217.125
-1913.0,-1079.5,-833.5,-269.875,-269.875,-269.875,-269.875,-208.375,-208.375,-208.375,-208.375
-1729.5,-910.5,-819.0,-227.625,-227.625,-227.625,-227.625,-204.75,-204.75,-204.75,-204.75
-1662.0,-772.5,-889.5,-193.125,-193.125,-193.125,-193.125,-222.375,-222.375,-222.375,-222.375
-1645.0,-837.0,-808.0,-209.25,-209.25,-209.25,-209.25,-202.0,-202.0,-202.0,-202.0
-1785.0,-997.5,-787.5,-249.375,-249.375,-249.375,-249.375,-196.875,-196.875,-196.875,-196.875
-1603.5,-792.0,-811.5,-198.0,-198.0,-198.0,-198.0,-202.875,-202.875,-202.875,-202.875
-1573.5,-861.5,-712.0,-215.375,-215.375,-215.375,-215.375,-178.0,-178.0,-178.0,-178.0
-1811.0,-937.0,-874.0,-234.25,-234.25,-234.25,-234.25,-218.5,-218.5,-218.5,-218.5
-1574.0,-796.0,-778.0,-199.0,-199.0,-199.0,-199.0,-194.5,-194.5,-194.5,-194.5
-1785.5,-948.5,-837.0,-237.125,-237.125,-237.125,-237.125,-209.25,-209.25,-209.25,-209.25
-1602.0,-835.5,-766.5,-208.875,-208.875,-208.875,-208.875,-191.625,-191.625,-191.625,-191.625
-1626.5,-877.5,-749.0,-219.375,-219.375,-219.375,-219.375,-187.25,-187.25,-187.25,-187.25
-1692.0,-912.0,-780.0,-228.0,-228.0,-228.0,-228.0,-195.0,-195.0,-195.0,-195.0
-1815.5,-963.5,-852.0,-240.875,-240.875,-240.875,-240.875,-213.0,-213.0,-213.0,-213.0
-1856.5,-957.5,-899.0,-239.375,-239.375,-239.375,-239.375,-224.75,-224.75,-224.75,-224.75
-1622.0,-853.5,-768.5,-213.375,-213.375,-213.375,-213.375,-192.125,-192.125,-192.125,-192.125
-1914.5,-1070.5,-844.0,-267.625,-267.625,-267.625,-267.625,-211.0,-211.0,-211.0,-211.0
-1802.0,-1018.5,-783.5,-254.625,-254.625,-254.625,-254.625,-195.875,-195.875,-195.875,-195.875
-1759.5,-919.5,-840.0,-229.875,-229.875,-229.875,-229.875,-210.0,-210.0,-210.0,-210.0
-1792.5,-950.5,-842.0,-237.625,-237.625,-237.625,-237.625,-210.5,-210.5,-210.5,-210.5
-1791.5,-1013.5,-778.0,-253.375,-253.375,-253.375,-253.375,-194.5,-194.5,-194.5,-194.5
-1690.5,-926.5,-764.0,-231.625,-231.625,-231.625,-231.625,-191.0,-191.0,-191.0,-191.0
-1850.5,-1073.5,-777.0,-268.375,-268.375,-268.375,-268.375,-194.25,-194.25,-194.25,-194.25
-1873.0,-1037.0,-836.0,-259.25,-259.25,-259.25,-259.25,-209.0,-209.0,-209.0,-209.0
-1831.5,-1039.0,-792.5,-259.75,-259.75,-259.75,-259.75,-198.125,-198.125,-198.125,-198.125
-1992.5,-1070.5,-922.0,-267.625,-267.625,-267.625,-267.625,-230.5,-230.5,-230.5,-230.5
-2078.0,-1189.5,-888.5,-297.375,-297.375,-297.375,-297.375,-222.125,-222.125,-222.125,-222.125
-1771.5,-985.5,-786.0,-246.375,-246.375,-246.375,-246.375,-196.5,-196.5,-196.5,-196.5
-1734.0,-895.5,-838.5,-223.875,-223.875,-223.875,-223.875,-209.625,-209.625,-209.625,-209.625
-1686.5,-916.0,-770.5,-229.0,-229.0,-229.0,-229.0,-192.625,-192.625,-192.625,-192.625
-1817.5,-915.5,-902.0,-228.875,-228.875,-228.875,-228.875,-225.5,-225.5,-225.5,-225.5
-1854.5,-947.5,-907.0,-236.875,-236.875,-236.875,-236.875,-226.75,-226.75,-226.75,-226.75
-1686.5,-859.0,-827.5,-214.75,-214.75,-214.75,-214.75,-206.875,-206.875,-206.875,-206.875
-1757.0,-901.0,-856.0,-225.25,-225.25,-225.25,-225.25,-214.0,-214.0,-214.0,-214.0
-1882.5,-1014.0,-868.5,-253.5,-253.5,-253.5,-253.5,-217.125,-217.125,-217.125,-217.125
-1637.5,-827.5,-810.0,-206.875,-206.875,-206.875,-206.875,-202.5,-202.5,-202.5,-202.5
-1642.0,-874.5,-767.5,-218.625,-218.625,-218.625,-218.625,-191.875,-191.875,-191.875,-191.875
-1721.0,-878.5,-842.5,-219.625,-219.625,-219.625,-219.625,-210.625,-210.625,-210.625,-210.625
-1828.0,-907.0,-921.0,-226.75,-226.75,-226.75,-226.75,-230.25,-230.25,-230.25,-230.25
-1857.5,-946.5,-911.0,-236.625,-236.625,-236.625,-236.625,-227.75,-227.75,-227.75,-227.75
-1745.0,-966.0,-779.0,-241.5,-241.5,-241.5,-241.5,-194.75,-194.75,-194.75,-194.75
-1596.0,-838.0,-758.0,-209.5,-209.5,-209.5,-209.5,-189.5,-189.5,-189.5,-189.5
-1692.0,-873.0,-819.0,-218.25,-218.25,-218.25,-218.25,-204.75,-204.75,-204.75,-204.75
-1972.0,-1000.0,-972.0,-250.0,-250.0,-250.0,-250.0,-243.0,-243.0,-243.0,-243.0
-1915.5,-1093.5,-822.0,-273.375,-273.375,-273.375,-273.375,-205.5,-205.5,-205.5,-205.5
-1829.0,-994.5,-834.5,-248.625,-248.625,-248.625,-248.625,-208.625,-208.625,-208.625,-208.625
-1584.5,-827.0,-757.5,-206.75,-206.75,-206.75,-206.75,-189.375,-189.375,-189.375,-189.375
-1859.0,-953.5,-905.5,-238.375,-238.375,-238.375,-238.375,-226.375,-226.375,-226.375,-226.375
-1795.5,-892.5,-903.0,-223.125,-223.125,-223.125,-223.125,-225.75,-225.75,-225.75,-225.75
-1635.0,-825.0,-810.0,-206.25,-206.25,-206.25,-206.25,-202.5,-202.5,-202.5,-202.5
-1783.0,-889.5,-893.5,-222.375,-222.375,-222.375,-222.375,-223.375,-223.375,-223.375,-223.375
-1635.5,-887.0,-748.5,-221.75,-221.75,-221.75,-221.75,-187.125,-187.125,-187.125,-187.125
-1598.5,-816.0,-782.5,-204.0,-204.0,-204.0,-204.0,-195.625,-195.625,-195.625,-195.625
-1679.0,-910.5,-768.5,-227.625,-227.625,-227.625,-227.625,-192.125,-192.125,-192.125,-192.125
-1750.0,-900.5,-849.5,-225.125,-225.125,-225.125,-225.125,-212.375,-212.375,-212.375,-212.375
-1795.5,-936.0,-859.5,-234.0,-234.0,-234.0,-234.0,-214.875,-214.875,-214.875,-214.875
-1702.0,-925.0,-777.0,-231.25,-231.25,-231.25,-231.25,-194.25,-194.25,-194.25,-194.25
-1899.5,-1009.0,-890.5,-252.25,-252.25,-252.25,-252.25,-222.625,-222.625,-222.625,-222.625
-1770.5,-856.0,-914.5,-214.0,-214.0,-214.0,-214.0,-228.625,-228.625,-228.625,-228.625
-1740.0,-886.0,-854.0,-221.5,-221.5,-221.5,-221.5,-213.5,-213.5,-213.5,-213.5
-1662.5,-853.0,-809.5,-213.25,-213.25,-213.25,-213.25,-202.375,-202.375,-202.375,-202.375
-1619.0,-814.5,-804.5,-203.625,-203.625,-203.625,-203.625,-201.125,-201.125,-201.125,-201.125
