Episode,Reward,Avg_Waiting_Time,Avg_Queue,Epsilon,Loss
1,-16325.0,0.0,0.0,0.995,90.09449671682883
2,-21466.5,1.4722222222222223,1.5,0.990025,103.7477533923255
3,-27166.5,3.3793103448275863,2.25,0.985074875,179.8096307489607
4,-22116.5,0.20588235294117646,1.0,0.9801495006250001,145.6962379799949
5,-17333.5,2.1153846153846154,1.5,0.9752487531218751,103.49749468962351
6,-21375.5,1.09375,1.5,0.9703725093562657,111.97795439296299
7,-22252.5,0.6666666666666666,1.0,0.9655206468094844,110.92084645695157
8,-19079.5,0.0,0.0,0.960693043575437,112.42694900698132
9,-22513.0,3.6315789473684212,2.75,0.9558895783575597,113.81999458339479
10,-25145.0,0.5,2.25,0.9511101304657719,135.26879910098182
11,-20787.0,1.40625,1.75,0.946354579813443,303.3832810878754
12,-20265.5,0.8,1.25,0.9416228069143757,280.482874833213
13,-15589.0,0.15384615384615385,0.5,0.9369146928798039,251.9518103228675
14,-17255.0,0.07142857142857142,0.25,0.9322301194154049,272.5174626138475
15,-18362.5,0.23333333333333334,1.0,0.9275689688183278,264.9489405843947
16,-22700.5,1.7380952380952381,4.25,0.9229311239742362,288.4066370699141
17,-18612.5,0.041666666666666664,0.25,0.918316468354365,268.6529109901852
18,-16996.0,1.2352941176470589,1.75,0.9137248860125932,202.66521739429896
19,-13007.5,1.2222222222222223,1.25,0.9091562615825302,234.48755359649658
20,-15927.0,2.769230769230769,1.75,0.9046104802746175,216.44414913654327
21,-15827.0,0.0,0.0,0.9000874278732445,244.70667186313204
22,-18114.5,0.0,0.0,0.8955869907338783,238.71106119155883
23,-20983.5,0.09090909090909091,0.5,0.8911090557802088,247.73118340174358
24,-19750.0,0.0625,0.25,0.8866535105013078,191.48684771855673
25,-19906.5,0.35714285714285715,1.0,0.8822202429488013,184.00819852617053
26,-16143.5,0.21212121212121213,1.0,0.8778091417340573,194.78318169911702
27,-16742.5,0.6086956521739131,0.75,0.8734200960253871,197.43381012810602
28,-15156.5,2.04,1.5,0.8690529955452602,160.68041904237535
29,-23442.5,0.17857142857142858,0.5,0.8647077305675338,156.19456249872843
30,-13938.0,1.09375,1.5,0.8603841919146962,137.9485165754954
31,-14895.0,1.25,2.25,0.8560822709551227,133.2914078977373
32,-14388.5,1.05,1.25,0.851801859600347,135.81518614027235
33,-12716.5,0.5217391304347826,0.5,0.8475428503023453,130.96193964216445
34,-13382.0,0.425,1.5,0.8433051360508336,134.50342200067308
35,-14365.0,1.5161290322580645,2.5,0.8390886103705794,128.4557156085968
36,-12894.5,1.3793103448275863,2.0,0.8348931673187264,120.79678338898553
37,-14555.5,0.07407407407407407,0.25,0.8307187014821328,117.13351146909926
38,-13029.0,5.391304347826087,2.25,0.8265651079747222,121.95312309530047
39,-13447.0,0.4642857142857143,1.5,0.8224322824348486,115.57480977641211
40,-15161.0,0.46875,0.75,0.8183201210226743,102.82234452565511
41,-13616.0,1.0666666666666667,1.5,0.8142285204175609,114.0202555100123
42,-13433.5,0.14285714285714285,0.5,0.810157377815473,114.62232153945499
43,-11324.5,0.14285714285714285,0.75,0.8061065909263957,94.30359022087521
44,-11342.0,0.12121212121212122,0.5,0.8020760579717637,86.10633173518711
45,-14135.5,0.0,0.0,0.798065677681905,86.6734175019794
46,-15934.0,4.114285714285714,3.25,0.7940753492934954,92.24596905178494
47,-15130.0,1.0857142857142856,2.0,0.7901049725470279,88.82592124938965
48,-13149.0,0.3783783783783784,1.0,0.7861544476842928,86.11137510140738
49,-14550.0,0.024390243902439025,0.25,0.7822236754458713,78.03203879992166
50,-13570.0,1.0512820512820513,1.25,0.778312557068642,85.08066657119328
51,-12680.5,0.0625,0.5,0.7744209942832988,90.20622418456607
52,-10375.0,0.2608695652173913,0.5,0.7705488893118823,73.63732632266151
53,-12685.0,2.08,1.5,0.7666961448653229,74.12464868757459
54,-11797.0,0.03333333333333333,0.25,0.7628626641409962,72.06095678541395
55,-13548.0,0.23529411764705882,1.0,0.7590483508202912,70.95600103272332
56,-12114.5,0.5588235294117647,0.75,0.7552531090661897,72.61307766437531
57,-11433.5,0.1,0.5,0.7514768435208588,72.70387232833438
58,-10980.0,0.23529411764705882,0.5,0.7477194593032545,70.67068699730767
59,-15241.5,1.16,1.25,0.7439808620067382,70.4144657029046
60,-10599.0,0.0,0.0,0.7402609576967045,71.76881949371761
61,-10665.0,0.041666666666666664,0.25,0.736559652908221,74.79906534088983
62,-11524.0,0.0,0.0,0.7328768546436799,73.63983308474222
63,-12777.0,0.15384615384615385,0.5,0.7292124703704616,77.98647595511542
64,-15066.5,0.20588235294117646,0.25,0.7255664080186093,77.91012902524736
