Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-6572.0,-2978.5,-3593.5,17.61768715646532,14.11189838382933,-796.0,-587.0,-847.5,-748.0,-832.0,-1055.0,-765.0,-941.5
-6434.5,-3212.5,-3222.0,16.560526684919992,14.3882432685958,-646.5,-644.0,-955.0,-967.0,-684.5,-832.5,-917.0,-788.0
-6683.0,-3209.5,-3473.5,16.409720040692225,14.182168957922194,-742.5,-645.0,-944.0,-878.0,-879.0,-709.5,-1087.5,-797.5
-5895.5,-3075.5,-2820.0,15.724510901504093,14.087700118621191,-833.5,-568.0,-734.5,-939.5,-834.0,-655.0,-559.5,-771.5
-6963.5,-3662.0,-3301.5,16.393410527706145,12.905692866113451,-840.0,-490.5,-1137.0,-1194.5,-666.5,-898.0,-797.5,-939.5
-6357.5,-2862.0,-3495.5,15.413683044910432,12.983343897925483,-824.0,-649.5,-699.0,-689.5,-1031.0,-1012.0,-849.0,-603.5
-5989.0,-3394.0,-2595.0,16.05015367269516,12.582810962200165,-734.5,-690.0,-856.0,-1113.5,-715.0,-791.5,-487.5,-601.0
-6058.5,-2431.5,-3627.0,15.023719056447346,12.131051205264198,-638.5,-432.5,-717.5,-643.0,-989.0,-1111.5,-771.0,-755.5
-5739.5,-2670.5,-3069.0,14.341255405214097,12.407786507076688,-733.5,-595.5,-768.5,-573.0,-1273.0,-726.0,-480.5,-589.5
-6434.0,-2974.0,-3460.0,14.636926613913642,12.48383851448695,-681.5,-742.5,-809.0,-741.0,-774.0,-932.0,-549.0,-1205.0
-7705.0,-4591.5,-3113.5,15.162483755747477,12.493005508846707,-882.0,-698.0,-1667.5,-1344.0,-747.5,-779.5,-911.0,-675.5
-6197.0,-3519.5,-2677.5,15.39832290675905,12.096667175160514,-743.5,-921.0,-919.0,-936.0,-726.5,-776.0,-478.5,-696.5
-5361.0,-2843.5,-2517.5,14.067828031380971,11.904759494463603,-724.0,-582.0,-733.5,-804.0,-679.0,-575.5,-642.5,-620.5
-5482.5,-2715.0,-2767.5,13.529033619827695,11.871827365292443,-801.0,-569.5,-694.0,-650.5,-776.0,-998.0,-503.5,-490.0
-6005.0,-3005.0,-3000.0,13.34937486913469,11.548027342557907,-955.0,-531.5,-864.0,-654.5,-842.5,-810.5,-629.0,-718.0
-6389.0,-3120.5,-3268.5,13.006905811362797,11.48717323144277,-733.5,-727.5,-863.0,-796.5,-1060.0,-764.0,-691.0,-753.5
-5767.5,-2498.0,-3269.5,12.442547447151608,11.224439288510217,-652.5,-470.0,-805.5,-570.0,-857.5,-802.5,-668.0,-941.5
-4992.0,-2422.5,-2569.5,12.20677009820938,11.178395544158088,-659.5,-647.5,-576.5,-539.0,-720.5,-631.5,-690.0,-527.5
-5831.5,-2898.5,-2933.0,11.800519808795716,10.890114678276909,-693.0,-539.0,-757.0,-909.5,-874.0,-674.0,-692.5,-692.5
-5717.0,-3182.5,-2534.5,11.931131654315525,11.22600452899933,-904.0,-700.5,-666.0,-912.0,-709.5,-488.0,-664.0,-673.0
-5740.0,-2667.0,-3073.0,11.17527332968182,10.642353267139859,-727.5,-518.5,-897.5,-523.5,-695.5,-1003.0,-843.0,-531.5
-5769.5,-3153.5,-2616.0,10.932587016953363,10.646245767010583,-709.0,-635.5,-686.0,-1123.0,-613.0,-865.0,-469.0,-669.0
-6276.5,-3045.0,-3231.5,11.086834073066711,10.522596063878801,-836.0,-594.5,-985.5,-629.0,-1414.0,-605.5,-576.0,-636.0
-6215.5,-3401.5,-2814.0,10.88368867635727,10.911764875385497,-935.5,-567.5,-715.5,-1183.0,-868.5,-747.0,-467.5,-731.0
-5770.5,-3152.0,-2618.5,10.49952995578448,10.787874774138134,-1356.5,-453.5,-698.5,-643.5,-632.0,-539.5,-601.0,-846.0
-4961.5,-2552.0,-2409.5,10.678695489962896,10.484330318371455,-628.0,-537.0,-584.0,-803.0,-795.0,-496.0,-430.0,-688.5
-5379.5,-2885.5,-2494.0,10.867999223205778,9.973527638779746,-768.0,-635.5,-527.0,-955.0,-807.5,-700.0,-463.5,-523.0
-5871.5,-3053.0,-2818.5,10.660576521688037,10.024059734079573,-821.5,-470.0,-864.5,-897.0,-762.5,-849.5,-499.0,-707.5
-5607.5,-2512.5,-3095.0,10.354009434249665,9.856400750080745,-768.5,-309.5,-570.0,-864.5,-824.5,-778.0,-652.0,-840.5
-5385.5,-3089.5,-2296.0,10.24572352303399,10.03924807243877,-654.5,-666.5,-1064.5,-704.0,-673.0,-530.0,-594.0,-499.0
-5383.5,-2622.5,-2761.0,10.347900046904881,10.151735867394342,-861.0,-504.0,-812.0,-445.5,-563.5,-765.0,-517.0,-915.5
-4789.5,-2637.5,-2152.0,10.139696335130267,10.180378080738915,-862.0,-690.0,-554.5,-531.0,-509.0,-490.5,-565.5,-587.0
-5675.0,-2954.5,-2720.5,9.995976575215657,9.18854496942626,-764.0,-795.5,-517.0,-878.0,-750.5,-656.5,-809.0,-504.5
-4521.5,-2355.5,-2166.0,9.73281821012497,9.555208828051885,-511.5,-657.0,-605.5,-581.5,-647.5,-559.5,-473.5,-485.5
-5176.5,-2672.5,-2504.0,9.174231482214397,9.090629504124324,-870.5,-520.0,-424.0,-858.0,-826.5,-654.5,-457.0,-566.0
