Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-6773.0,-3808.0,-2965.0,15.487523448467254,15.565832238727145,-1241.5,-765.0,-974.5,-827.0,-695.5,-980.5,-604.0,-685.0
-6618.0,-3209.5,-3408.5,15.518411362171173,15.6326035645273,-698.0,-620.0,-1086.5,-805.0,-838.0,-1014.5,-785.0,-771.0
-7407.0,-4016.5,-3390.5,15.875199078189002,15.310395272572835,-1330.5,-710.0,-956.5,-1019.5,-813.0,-1135.5,-573.0,-869.0
-6855.5,-3357.5,-3498.0,14.813647294044495,15.129092462857564,-1143.5,-674.0,-850.5,-689.5,-988.0,-1024.0,-784.5,-701.5
-5712.5,-2992.5,-2720.0,14.452910270955828,14.569903906186422,-695.5,-594.0,-1017.5,-685.5,-700.5,-797.0,-469.5,-753.0
-6210.5,-3228.0,-2982.5,14.25141322877672,14.047584819131428,-750.5,-785.5,-810.0,-882.0,-681.0,-827.5,-669.0,-805.0
-7285.5,-3769.5,-3516.0,14.165008109145694,13.589146440558963,-1295.0,-575.5,-955.5,-943.5,-799.0,-1135.0,-897.0,-685.0
-6454.0,-3417.5,-3036.5,14.118397851785025,13.717993587917752,-816.5,-777.0,-1142.0,-682.0,-875.0,-689.5,-906.0,-566.0
-5751.0,-3011.5,-2739.5,13.41191452741623,13.123846697807313,-647.5,-527.5,-1048.5,-788.0,-737.5,-634.0,-598.0,-770.0
-7517.0,-3535.0,-3982.0,13.33855678372913,12.910096041361491,-846.0,-569.5,-1065.0,-1054.5,-1385.0,-1083.0,-552.0,-962.0
-6699.5,-3588.0,-3111.5,13.593958393732708,12.934205008877647,-1395.0,-566.5,-789.5,-837.0,-778.5,-827.5,-831.5,-674.0
-6243.5,-3077.5,-3166.0,13.382347902986739,12.661946744389004,-785.0,-580.5,-959.0,-753.0,-738.5,-860.5,-586.0,-981.0
-5851.0,-2914.0,-2937.0,13.291785380575392,12.48200814459059,-721.5,-603.5,-844.5,-744.5,-852.0,-692.0,-718.5,-674.5
-5466.0,-2653.0,-2813.0,12.886019112004174,11.599980682796902,-684.0,-595.5,-576.0,-797.5,-706.5,-758.0,-622.0,-726.5
-5537.0,-2910.0,-2627.0,11.95763226085239,11.64820042318768,-702.0,-737.5,-701.5,-769.0,-754.0,-481.5,-615.0,-776.5
-6483.5,-3353.5,-3130.0,11.628924730088976,11.481125020980835,-862.5,-662.0,-723.0,-1106.0,-751.0,-747.5,-918.5,-713.0
-6669.5,-3248.0,-3421.5,12.258362342251672,11.301850864622327,-1006.5,-805.5,-653.0,-783.0,-935.0,-908.5,-794.0,-784.0
-6375.0,-3275.0,-3100.0,12.3495248887274,11.318462198310428,-1070.0,-769.0,-889.0,-547.0,-874.5,-669.0,-818.0,-738.5
-5287.5,-2757.0,-2530.5,12.438993342717488,11.127681713634066,-639.0,-792.5,-677.0,-648.5,-967.0,-645.0,-501.5,-417.0
-5474.0,-2767.0,-2707.0,12.526503373516931,11.14127942721049,-810.0,-575.0,-722.5,-659.5,-711.5,-657.5,-395.5,-942.5
-5572.0,-3098.0,-2474.0,11.536547962824503,10.764625653955672,-919.0,-632.5,-843.5,-703.0,-493.5,-532.0,-602.5,-846.0
-6171.5,-3235.0,-2936.5,11.564325551191965,10.470030045509338,-958.0,-524.0,-1021.5,-731.5,-942.0,-513.0,-683.0,-798.5
-5351.0,-2880.5,-2470.5,11.291193154123095,10.125234727064768,-724.5,-553.0,-859.0,-744.0,-819.5,-535.5,-563.0,-552.5
-6129.5,-3102.0,-3027.5,11.589695182111528,9.908232708772024,-798.0,-748.5,-753.0,-802.5,-616.0,-1110.5,-823.5,-477.5
-6376.0,-3469.5,-2906.5,11.802974021434784,9.971044907304975,-759.0,-782.5,-978.0,-950.0,-1049.5,-622.5,-612.5,-622.0
-5502.5,-2426.0,-3076.5,12.02164480553733,10.139368751976225,-500.0,-495.0,-659.0,-772.0,-781.5,-782.0,-812.0,-701.0
-5983.5,-3056.5,-2927.0,11.221502739191056,10.18433231777615,-789.5,-714.0,-1009.0,-544.0,-961.5,-561.5,-687.5,-716.5
-5430.0,-2805.0,-2625.0,10.98334678808848,9.87419828971227,-753.0,-522.0,-764.5,-765.5,-625.0,-671.5,-415.5,-913.0
-5569.5,-2665.5,-2904.0,10.653686585028966,9.857842465904024,-847.0,-547.0,-753.5,-518.0,-1006.0,-843.5,-484.0,-570.5
-5331.0,-2452.5,-2878.5,10.195339297586017,10.363241533438364,-850.0,-635.5,-468.5,-498.5,-563.5,-683.0,-974.0,-658.0
-5298.5,-2789.0,-2509.5,10.185279955466589,9.720185297065312,-664.0,-505.0,-598.5,-1021.5,-704.5,-753.5,-430.5,-621.0
-4872.5,-2435.5,-2437.0,9.966972594128714,9.546718679534065,-667.0,-559.5,-620.0,-589.0,-743.0,-591.5,-479.5,-623.0
-4737.5,-2432.0,-2305.5,10.293728351593018,9.308347662289938,-993.0,-287.5,-667.0,-484.5,-621.0,-494.5,-486.5,-703.5
-5360.5,-2566.0,-2794.5,10.030489612287946,9.191972459024853,-761.5,-490.0,-672.0,-642.5,-801.5,-1036.0,-371.5,-585.5
-5409.5,-2622.0,-2787.5,9.57351489133305,8.96667036347919,-699.0,-489.5,-810.0,-623.5,-680.5,-866.5,-481.5,-759.0
-5572.5,-3063.0,-2509.5,9.562162872155508,9.140100820196999,-911.5,-599.0,-735.0,-817.5,-701.0,-716.5,-532.5,-559.5
-5553.0,-3057.5,-2495.5,9.61156331035826,8.898672292629877,-827.5,-548.5,-1016.0,-665.5,-848.5,-705.5,-406.0,-535.5
-5132.5,-2597.5,-2535.0,9.233229247728984,8.570581149392657,-688.0,-540.0,-742.5,-627.0,-709.0,-511.0,-663.0,-652.0
-5179.5,-2468.0,-2711.5,8.675325206253264,8.487841271029579,-688.0,-414.0,-884.0,-482.0,-800.5,-751.5,-597.5,-562.0
-5491.0,-2733.0,-2758.0,9.04752170973354,8.725933002101051,-786.5,-581.0,-808.0,-557.5,-639.0,-518.5,-705.0,-895.5
-5227.5,-2647.5,-2580.0,9.22038257320722,8.366731170813242,-650.0,-556.5,-749.0,-692.0,-883.0,-572.0,-587.5,-537.5
-5132.0,-2542.5,-2589.5,8.914834261602826,8.348205102814568,-618.0,-631.5,-641.0,-652.0,-758.0,-655.5,-522.5,-653.5
-6359.5,-3793.5,-2566.0,8.736807607942158,8.245205952061546,-866.5,-709.0,-1394.0,-824.0,-595.0,-695.5,-597.5,-678.0
-4928.5,-2415.5,-2513.0,8.84602169394493,8.168100541167789,-521.5,-469.0,-713.5,-711.5,-692.0,-574.0,-682.0,-565.0
-4712.0,-2518.0,-2194.0,8.69254828095436,8.161071166727279,-766.0,-368.5,-679.0,-704.5,-543.5,-489.5,-512.5,-648.5
-4841.0,-2350.0,-2491.0,8.469264125823974,7.874123947487937,-696.0,-386.0,-641.0,-627.0,-584.0,-816.5,-481.0,-609.5
-5136.5,-2937.5,-2199.0,8.145125128163231,7.678566199541092,-766.0,-787.5,-580.5,-803.5,-542.5,-620.0,-520.5,-516.0
-4912.5,-2649.0,-2263.5,8.275597923994065,7.503792757458157,-1018.5,-401.5,-666.0,-563.0,-751.5,-675.5,-377.5,-459.0
-4812.5,-2259.0,-2553.5,8.164071198966768,7.410879017247094,-602.0,-376.5,-473.0,-807.5,-600.0,-636.0,-689.5,-628.0
-4250.5,-2359.0,-1891.5,8.212021770742204,7.713520094421175,-740.0,-505.5,-414.0,-699.5,-477.5,-409.5,-545.0,-459.5
-5245.5,-2831.0,-2414.5,7.928194872538248,7.428934007883072,-685.5,-424.0,-776.5,-945.0,-778.0,-524.5,-678.0,-434.0
-4808.0,-2548.5,-2259.5,7.76818547712432,7.470338788959715,-661.5,-650.0,-531.0,-706.0,-592.0,-441.0,-553.5,-673.0
-4663.5,-2315.0,-2348.5,7.813344491190381,7.010866593652302,-600.0,-787.5,-476.0,-451.5,-795.5,-533.5,-614.5,-405.0
-5904.0,-2925.5,-2978.5,7.779806560609075,7.207469506396188,-986.5,-482.0,-705.5,-751.5,-679.5,-1069.0,-439.0,-791.0
-4794.0,-2583.5,-2210.5,7.538893159892824,6.941681134700775,-664.5,-508.0,-674.0,-737.0,-624.5,-504.0,-384.5,-697.5
-4457.5,-1940.0,-2517.5,7.401862005392711,6.798978765143288,-545.5,-397.0,-539.5,-458.0,-761.5,-568.5,-616.5,-571.0
-4726.0,-2522.5,-2203.5,7.313370843066109,6.605473851495319,-582.5,-397.0,-770.0,-773.0,-639.5,-560.0,-409.5,-594.5
-4829.0,-2267.5,-2561.5,7.331301800409952,6.463337662484911,-478.5,-495.5,-507.0,-786.5,-800.5,-642.0,-628.5,-490.5
-4104.0,-2033.5,-2070.5,7.0545530107286245,6.7555521918667685,-601.5,-482.0,-488.5,-461.5,-666.0,-505.5,-493.0,-406.0
-4497.0,-2121.5,-2375.5,7.340229662921693,6.891407499710719,-536.5,-400.5,-624.0,-560.5,-551.0,-540.5,-625.5,-658.5
-4626.5,-2372.0,-2254.5,6.823329291078779,6.524830632739597,-838.0,-363.0,-516.5,-654.5,-692.5,-595.5,-395.0,-571.5
-4812.5,-2505.5,-2307.0,6.992974852853351,6.38937941789627,-940.5,-453.0,-541.0,-571.0,-746.0,-519.5,-551.0,-490.5
-4831.0,-2192.0,-2639.0,7.17886299557156,6.402688676118851,-757.5,-461.5,-589.5,-383.5,-644.5,-764.5,-604.0,-626.0
-4649.5,-2529.0,-2120.5,7.126305235756768,6.450930183463626,-682.5,-519.5,-718.5,-608.5,-521.5,-617.5,-438.5,-543.0
-3981.5,-1987.5,-1994.0,7.068810198042128,6.44382333026992,-526.0,-383.5,-630.5,-447.5,-481.0,-457.0,-575.0,-481.0
-4658.0,-2426.5,-2231.5,6.518686931331953,6.355055447419485,-710.0,-518.5,-556.5,-641.5,-504.0,-536.0,-557.0,-634.5
-4557.5,-2261.0,-2296.5,6.5639619688193,6.240696801741918,-648.5,-520.5,-721.0,-371.0,-603.0,-701.0,-429.0,-563.5
-4768.0,-2556.0,-2212.0,6.7839247524738315,6.248697808053758,-736.5,-544.5,-594.5,-680.5,-703.5,-577.5,-432.5,-498.5
-3803.0,-1744.5,-2058.5,6.544070851140552,6.160245727168189,-501.0,-316.5,-510.5,-416.5,-625.5,-505.5,-334.5,-593.0
-4313.0,-2040.0,-2273.0,6.355530911684037,6.0000308725568985,-577.0,-366.0,-478.0,-619.0,-478.0,-694.5,-562.5,-538.0
-4729.5,-2582.5,-2147.0,6.131042945384979,5.88765475153923,-957.5,-551.5,-549.5,-524.0,-556.0,-591.5,-423.5,-576.0
-4058.5,-2197.5,-1861.0,5.901795212427775,5.9999725070264605,-586.0,-512.5,-626.5,-472.5,-455.5,-415.0,-544.0,-446.5
-3845.0,-1993.5,-1851.5,6.0191813985506695,5.9310379981994625,-575.5,-456.5,-547.5,-414.0,-531.0,-568.0,-311.0,-441.5
-4435.0,-2320.5,-2114.5,5.829242197672526,5.611383053329256,-637.0,-386.0,-591.0,-706.5,-541.5,-500.0,-544.0,-529.0
-4632.0,-2216.5,-2415.5,5.815521518389384,5.645298875371615,-637.0,-383.0,-681.5,-515.0,-564.5,-631.0,-469.0,-751.0
-4257.5,-2076.0,-2181.5,5.486193518506156,5.7595365911722185,-464.5,-415.5,-664.5,-531.5,-671.0,-513.0,-498.5,-499.0
-3890.5,-2152.0,-1738.5,5.524602025747299,5.645590533150567,-491.0,-396.5,-459.5,-805.0,-434.0,-542.0,-430.5,-332.0
-4080.0,-1864.0,-2216.0,5.450263055827882,5.723950060208638,-518.5,-361.5,-564.0,-420.0,-564.5,-536.0,-604.0,-511.5
-3867.5,-2238.0,-1629.5,5.410145086381171,5.4192729410198,-586.5,-379.0,-709.0,-563.5,-522.0,-407.0,-298.5,-402.0
-4504.5,-2224.0,-2280.5,5.487614701853858,5.613233265611861,-660.0,-464.0,-550.0,-550.0,-516.0,-760.0,-433.5,-571.0
-4293.5,-2335.5,-1958.0,5.229472378227446,5.3588315109411875,-752.0,-456.0,-645.0,-482.5,-562.0,-550.5,-447.5,-398.0
-4007.5,-1841.0,-2166.5,5.217885810467932,5.266793528530333,-548.5,-477.0,-411.0,-404.5,-758.5,-632.0,-371.0,-405.0
-3982.5,-2154.0,-1828.5,5.04628771841526,5.2776079303688475,-461.5,-619.5,-504.0,-569.0,-569.5,-453.0,-468.5,-337.5
-4347.5,-2337.0,-2010.5,5.11791729927063,5.026482658253776,-701.0,-461.5,-560.5,-614.0,-464.5,-495.5,-411.0,-639.5
-3701.0,-1662.5,-2038.5,4.984969650374518,5.0055684503581785,-532.0,-370.0,-348.0,-412.5,-658.5,-501.5,-383.5,-495.0
-3790.0,-1880.5,-1909.5,4.650684835513433,5.027513073881467,-478.0,-470.5,-479.0,-453.0,-563.0,-632.5,-332.5,-381.5
-3705.0,-1797.5,-1907.5,5.077984282705519,4.856127778026793,-350.5,-443.0,-529.5,-474.5,-570.0,-524.0,-442.5,-371.0
-4008.5,-1808.0,-2200.5,5.037756571504805,4.642968384755982,-552.5,-353.0,-439.5,-463.0,-649.5,-578.5,-519.0,-453.5
-4117.0,-2113.0,-2004.0,4.9640722178750565,4.834418817361196,-578.5,-587.5,-540.5,-406.5,-510.0,-583.5,-384.0,-526.5
-3520.5,-1877.5,-1643.0,4.709040055672328,4.631104987528589,-445.0,-502.5,-536.0,-394.0,-415.5,-404.0,-383.0,-440.5
-3277.5,-1780.0,-1497.5,4.749816192520989,4.500844369331996,-475.0,-405.0,-410.5,-489.5,-366.5,-359.5,-348.5,-423.0
-3742.5,-2097.0,-1645.5,4.726987550656001,4.37765131758319,-652.0,-394.0,-575.5,-475.5,-367.5,-436.5,-403.5,-438.0
-3908.5,-1909.0,-1999.5,4.646699471937286,4.43979244629542,-625.0,-432.0,-378.5,-473.5,-591.5,-466.5,-482.5,-459.0
-3679.5,-1848.0,-1831.5,4.3821557333072025,4.376126060220931,-492.0,-385.5,-481.0,-489.5,-577.0,-561.0,-265.0,-428.5
-3832.0,-1915.5,-1916.5,4.458753802047836,4.373907558454407,-551.0,-479.5,-500.5,-384.5,-618.5,-470.0,-420.0,-408.0
-3619.0,-2000.0,-1619.0,4.458265546295378,4.236111138926612,-573.5,-359.5,-570.5,-496.5,-355.0,-385.0,-549.5,-329.5
-3779.5,-1979.5,-1800.0,4.517412043942345,4.161054877440135,-522.0,-340.5,-566.5,-550.5,-568.5,-439.0,-375.0,-417.5
-3723.5,-1857.5,-1866.0,4.190269930495156,4.026597828335232,-523.5,-479.0,-438.0,-417.0,-627.0,-562.5,-297.0,-379.5
-3611.0,-1821.5,-1789.5,4.167309426930216,3.913300505280495,-475.5,-385.5,-550.5,-410.0,-461.0,-500.5,-412.5,-415.5
-3610.0,-1696.5,-1913.5,4.224245979388555,4.070675211151441,-470.0,-434.5,-365.5,-426.5,-427.0,-442.0,-452.0,-592.5
-3732.0,-1777.5,-1954.5,4.061635393235418,4.067988431122568,-407.5,-323.5,-566.0,-480.5,-550.5,-573.5,-418.5,-412.0
-3723.5,-1742.0,-1981.5,3.9994124392668406,4.123502469393942,-454.5,-343.0,-469.5,-475.0,-667.5,-441.5,-422.0,-450.5
-3361.0,-1730.5,-1630.5,4.117931265632311,3.9441982908381354,-632.0,-240.0,-421.0,-437.5,-436.5,-494.5,-273.5,-426.0
-3217.0,-1773.5,-1443.5,3.9296358817153507,3.782368144724104,-444.5,-477.0,-421.5,-430.5,-487.0,-414.0,-235.0,-307.5
-3508.5,-1782.5,-1726.0,3.96423973970943,3.7887985994418463,-469.5,-399.0,-508.5,-405.5,-413.5,-500.5,-432.5,-379.5
-3872.0,-2149.5,-1722.5,3.9192177454630532,3.777272808882925,-623.0,-319.0,-613.0,-594.5,-436.5,-524.5,-298.5,-463.0
-3439.0,-1778.5,-1660.5,3.7528814597262277,3.7024794545438553,-628.0,-408.5,-426.0,-316.0,-495.0,-403.5,-414.5,-347.5
-3735.0,-1811.0,-1924.0,3.9176565561029646,3.6437201145622464,-586.0,-425.5,-472.0,-327.5,-567.0,-428.0,-387.5,-541.5
-3444.5,-1763.5,-1681.0,3.882966649863455,3.8079418579737347,-593.0,-343.5,-398.0,-429.0,-547.0,-324.0,-439.0,-371.0
-3371.0,-1695.0,-1676.0,3.6841989722516804,3.6053282386726804,-426.0,-375.0,-443.0,-451.0,-402.0,-447.5,-289.5,-537.0
-4371.5,-2377.5,-1994.0,3.7451924085617065,3.6202492829826145,-926.0,-355.0,-522.0,-574.5,-716.5,-407.5,-505.5,-364.5
-3464.5,-1663.0,-1801.5,3.6038475235303244,3.633971388472451,-484.5,-350.0,-412.5,-416.0,-458.5,-412.5,-441.5,-489.0
-3314.5,-1627.5,-1687.0,3.603886394037141,3.440297351611985,-457.0,-304.5,-380.5,-485.5,-470.5,-518.5,-342.5,-355.5
-3304.0,-1722.0,-1582.0,3.5777124726110037,3.5358710520797305,-529.5,-381.5,-435.5,-375.5,-447.0,-401.0,-339.5,-394.5
-3696.0,-1754.5,-1941.5,3.5771024306615193,3.441009557578299,-467.5,-400.0,-486.5,-400.5,-487.0,-586.0,-399.5,-469.0
-3463.0,-1760.5,-1702.5,3.6682762189043894,3.4193506217665144,-511.5,-250.5,-488.5,-510.0,-452.0,-442.5,-415.0,-393.0
-3798.5,-2103.5,-1695.0,3.609061231546932,3.2575822035471598,-552.0,-613.0,-388.5,-550.0,-583.0,-474.0,-242.5,-395.5
-3537.0,-1759.5,-1777.5,3.5255952255593406,3.3831929660505717,-452.0,-436.5,-517.5,-353.5,-594.5,-351.5,-385.0,-446.5
-3423.0,-1640.0,-1783.0,3.5708019763231276,3.341630861825413,-459.0,-288.0,-538.0,-355.0,-439.0,-585.0,-383.5,-375.5
-3018.0,-1468.5,-1549.5,3.462533481915792,3.3768634769651626,-477.0,-285.5,-371.5,-334.5,-511.0,-429.0,-313.5,-296.0
-3708.5,-1942.0,-1766.5,3.3061744607157175,3.478081860807207,-506.0,-433.5,-526.5,-476.0,-506.5,-417.5,-369.0,-473.5
-3663.5,-1926.5,-1737.0,3.479327673713366,3.36966206630071,-728.5,-275.0,-393.5,-529.5,-387.0,-358.5,-525.0,-466.5
-3294.0,-1732.0,-1562.0,3.5178167127900655,3.320546183983485,-676.5,-291.5,-334.5,-429.5,-487.0,-409.5,-245.0,-420.5
-3365.0,-1918.5,-1446.5,3.4130124933189814,3.2609070463312997,-479.0,-381.5,-549.5,-508.5,-430.5,-348.0,-385.0,-283.0
-3554.5,-1889.0,-1665.5,3.4419865359862647,3.180569124552939,-522.5,-385.5,-473.0,-508.0,-342.0,-510.0,-389.5,-424.0
-3389.0,-1834.5,-1554.5,3.4125114096535576,3.1725784765349494,-633.5,-427.0,-366.5,-407.5,-472.5,-372.5,-297.0,-412.5
-3269.0,-1677.0,-1592.0,3.4186638441350725,3.1529227094517815,-536.5,-282.0,-344.0,-514.5,-482.0,-313.0,-388.0,-409.0
-3115.5,-1584.5,-1531.0,3.406425632039706,3.1060624645815955,-420.5,-262.0,-426.0,-476.0,-420.5,-360.5,-410.5,-339.5
-3335.0,-1844.0,-1491.0,3.3640656176540586,3.0745287315713035,-718.5,-248.0,-436.5,-441.0,-383.0,-421.0,-254.0,-433.0
-3473.5,-1976.0,-1497.5,3.4322404854827457,2.931658023264673,-577.0,-527.5,-439.5,-432.0,-401.0,-354.0,-410.5,-332.0
-3542.5,-1968.5,-1574.0,3.480713085664643,2.9146796739763685,-511.5,-414.0,-525.5,-517.5,-498.5,-445.0,-281.0,-349.5
-3508.0,-1854.0,-1654.0,3.405157329969936,2.9981946241524486,-702.0,-364.5,-433.0,-354.5,-356.5,-348.5,-437.0,-512.0
-3200.0,-1495.0,-1705.0,3.4876719699965584,2.9526429891586305,-426.5,-210.5,-493.5,-364.5,-523.5,-478.5,-377.0,-326.0
-3371.0,-1610.0,-1761.0,3.5007820218801498,2.9167612658606634,-412.5,-357.5,-375.0,-465.0,-433.5,-432.0,-480.5,-415.0
-3237.5,-1710.0,-1527.5,3.489487321840392,2.8611488882038327,-498.0,-357.0,-540.0,-315.0,-329.5,-348.0,-418.5,-431.5
-3528.0,-1693.5,-1834.5,3.51911617550585,2.8892592824167673,-403.0,-356.5,-380.0,-554.0,-429.5,-444.5,-470.0,-490.5
-3060.5,-1511.5,-1549.0,3.4070391645034155,2.9962011800871955,-435.0,-347.0,-372.5,-357.0,-541.0,-381.5,-256.0,-370.5
-3394.5,-1803.5,-1591.0,3.343203478058179,2.8357196042935056,-501.5,-291.0,-415.5,-595.5,-511.5,-418.5,-283.5,-377.5
-3545.0,-1790.0,-1755.0,3.191770659883817,2.763266384270456,-552.5,-385.0,-341.0,-511.5,-545.0,-435.5,-478.0,-296.5
-3458.5,-1940.0,-1518.5,3.430231894718276,2.896703384651078,-638.0,-335.0,-630.0,-337.0,-572.0,-381.5,-286.0,-279.0
-2945.5,-1557.0,-1388.5,3.418252447247505,2.7776627889937826,-365.5,-378.5,-425.0,-388.0,-337.0,-445.0,-244.0,-362.5
-3845.5,-2236.0,-1609.5,3.3765828053156537,2.8208206292655733,-527.0,-437.0,-718.0,-554.0,-380.5,-389.0,-310.5,-529.5
-3039.0,-1650.5,-1388.5,3.4974303576681347,2.8085650702317557,-539.5,-368.0,-318.5,-424.5,-403.5,-401.0,-202.0,-382.0
